시도교육청코드,행정표준코드,학교명,도로명주소,홈페이지주소
B10,7010149,덕원여자고등학교,서울특별시 강서구 강서로45길 91-44,http://deokwon.sen.hs.kr
B10,7010150,덕원예술고등학교,서울특별시 강서구 강서로45길 91-44,http://dwarts.sen.hs.kr
B10,7081516,덕원중학교,서울특별시 강서구 강서로45길 91-44,http://deokwon.sen.ms.kr
B10,7010317,덕일전자공업고등학교,서울특별시 구로구 서해안로21길 5-12,http://di.sen.hs.kr
B10,7011469,덜위치칼리지서울영국학교,서울특별시 서초구 신반포로15길 6,http://dulwich-seoul.kr
B10,7091428,도곡중학교,서울특별시 강남구 언주로57길 31,http://dogok.sen.ms.kr
B10,7051180,도봉중학교,서울특별시 도봉구 마들로 671,http://dobong.sen.ms.kr
B10,7011318,도선고등학교,서울특별시 성동구 마장로 156,http://dosun.sen.hs.kr
B10,7010560,독산고등학교,서울특별시 금천구 문성로 64,http://doksan.sen.hs.kr
B10,7041099,동광초등학교,서울특별시 금천구 탑골로10길 45,http://donggwang.sen.es.kr 
B10,7121361,동구여자중학교,서울특별시 성북구 성북로8길 71,http://dong-gu.sen.ms.kr
B10,7010151,동국대학교사범대학부속고등학교,서울특별시 동대문구 장안벚꽃로 201,http://ddbk.sen.hs.kr
B10,7010746,동국대학교사범대학부속여자고등학교,서울특별시 광진구 광나루로36길 47,http://donggukgirls.sen.hs.kr
B10,7134128,동국대학교사범대학부속여자중학교,서울특별시 광진구 광나루로36길 47,http://donggukgirls.sen.ms.kr
B10,7021125,동국대학교사범대학부속중학교,서울특별시 동대문구 장안벚꽃로 201,http://dongguk.sen.ms.kr
B10,7021126,동대문중학교,서울특별시 동대문구 사가정로 59,http://dongdaemun.sen.ms.kr
B10,7010152,동덕여자고등학교,서울특별시 서초구 효령로2길 123-5,http://dongduk.sen.hs.kr
B10,7091450,동덕여자중학교,서울특별시 서초구 효령로2길 123-5,http://dongduk.sen.ms.kr
B10,7031184,동도중학교,서울특별시 마포구 백범로 139,http://dong-do.sen.ms.kr
B10,7134129,동마중학교,서울특별시 성동구 마조로11길 18,http://dongma.sen.ms.kr
B10,7011490,동명생활경영고등학교,서울특별시 은평구 통일로 793,http://dmgcab.sen.hs.kr/
B10,7010153,동명여자고등학교,서울특별시 은평구 통일로 793,http://dongmyung.sen.hs.kr
B10,7031185,동명여자중학교,서울특별시 서대문구 독립문로 49,http://dongmyunggirls.sen.ms.kr
B10,7010154,동북고등학교,서울특별시 강동구 강동대로 305,http://dongbuk.sen.hs.kr
B10,7130172,동북중학교,서울특별시 강동구 강동대로 305,http://dongbuk.sen.ms.kr
B10,7051109,동북초등학교,서울특별시 도봉구 시루봉로 53,http://dongbuk.sen.es.kr
B10,7061054,동산초등학교,서울특별시 중구 매봉18길 109,http://seoul-dongsan.sen.es.kr
B10,7010155,동성고등학교,서울특별시 종로구 대학로 156,http://dongsung.sen.hs.kr
B10,7061100,동성중학교,서울특별시 종로구 대학로 156,http://sds.sen.ms.kr
B10,7130173,동신중학교,서울특별시 강동구 진황도로 72,http://dongshin.sen.ms.kr
B10,7010965,동양고등학교,서울특별시 강서구 허준로 50,http://dongyang.sen.hs.kr
B10,7132135,동양중학교,서울특별시 동작구 흑석로9길 94,https://dongyang.sen.ms.kr
B10,7021127,동원중학교,서울특별시 중랑구 양원역로 32,http://tongwon.sen.ms.kr
